FactoryName,Address,District,Division,PostCode,PhoneCityCode,Phone,PhoneExtension,Buildings,Stories,factoryMultiPurpose,factoryMultiFactory,floors,workers,activeMembers
D‐Tex Limited,"Mauchak, Gazipur, Dhaka",Gazipur,Dhaka,1710,,1711288546,,,1/3;,No,No,"1/1,2,3;",120,1
Ducati Apparels Ltd.,"Kathgora, Ashulia, Savar",Dhaka,Dhaka,,,1711531378,,3,1/2; 2/4; 3/4;,No,No,,987,3
Duranto Knit Textiles,"A/64‐66,BSCIC Industrial Estate, Konabari, Gazipur",Gazipur,Dhaka,,2,9298588,,,,No,No,,496,1
Dynamic Fashoin Ltd,"1/1 RingRoad Shamoli,Mohammadpur, Dhaka",Dhaka,Dhaka,1207,2,91200489122963,,1,"1/5,",Yes,Yes,"1/2,",470,1
Dynasty Sweaters (BD) Ltd,"Aukpara, Ashulia, Savar, Dhaka",Dhaka,Dhaka,1341,1,7748701,,1,1/7;,No,Yes,1/4;,1592,3
DZ Garments Ltd.,"Plot No. M‐2/1, Street & Section‐7, Mirpur (Pallabi)",Dhaka,Dhaka,,2,8014852,,,,No,No,,,1
EAST WEST SERVICES LTD,"232‐234,Tejgaon Industrial Area, Tejgaon",Dhaka,Dhaka,1208,2,8821993,,1,1/6;,No,No,All,802,1
ECHOTEX LTD.,"Chandra, Palli Biddut, Kaliakoir",Gazipur,Dhaka,1750,2,6820,,10,1/10; 2/7; 3/2; 4/2; 5/2; 6/1; 7/1; 8/1; 9/1; 10/1;,No,No,,6000,6
EFA APPARELS LIMITED,"JAHAN BUILDING‐4, 76 AGRABAD COMMERCIAL AREA (5th AND 6th FLOOR)",Chittagong,Chittagong,4100,31,713748,,,"1/7,",Yes,Yes,"1/5,6;",500,1
EH Fabrics Ltd,"221‐225,sataish road,Gazipura,Tongi",Gazipur,Dhaka,,,1913383384,,1,1/7;,No,No,,1650,6
Ehsan Fashion Ltd.,"B‐40, Bscic Industrial Estate, Tongi, Gazipur",Gazipur,Dhaka,,2,9800364,,1,1/6;,No,No,No,1339,4
Ehsan Gaments Ltd.,"Kuniapachar, Targach, Gazipur",Gazipur,Dhaka,1704,2,9291372,,5,1/7 ; 2/2 ; 3/1 ; 4/1 ; 5/1;,No,Yes,"1/0 , 1 , 4 , 5 , 6 ; 2/0 , 1 ; 3/0 ; 4/0 ; 5/0;",1650,5
Ekram Sweaters Ltd.,"Kathalia, Valuka, Mymensing",Mymensingh,Dhaka,,,1748428918,,,,No,No,,,1
ELEGANCE ORIENTAL LTD,"9, SHALIKCHURA, ERSHADNAGAR, TONGI",Gazipur,Dhaka,,2,29815630,,2,1/6;2/5;,No,Yes,"1/5;0,1,2,3,4,5;",1325,1
ELITE GARMENTS INDUSTRIES LTD.,"Bade Kalmeswer, Board Bazar",GAZIPUR,Dhaka,,2,9291465,,5,1/3;2/4;3/6;4/4;1/1;,No,No,,2450,2
Emerald Dresses ltd,"Hazi Adam ali,Complex,Dagerchala,board bazar",Gazipur,Dhaka,1704,2,9293991,,3,"1/5,",No,Yes,"1/5,",700,1
Energypac Fashions Ltd,"Hotapara Bokran Monipur; Bhabanipur; Gazipur, Dhaka",Gazipur,Dhaka,1749,2,9651883,,1,1/5;,Yes,Yes,"1/2,3,4,5;",1087,2
Enrich Sweater,"East Kolmashor, Bottola Road, Board Bazar, Gazipur,Dhaka",Gazipur,Dhaka,1710,,1966600022,,3,1/4 ; 2/2 ; 3/1;,Yes,Yes,"1/1,2,3,4 ; 2/1,2 ; 3/1;",632,1
Envoy Fashions Limited,"Diakhali, Yearpur, Jamgara, Savar",Dhaka,Dhaka,1341,,1713025071,,1,1/7;,No,No,,1936,3
Epcot Apparels Ltd,"Chandana, Joydebpur",Gazipur,Dhaka,1700,2,8917549,,,1/3;,No,No,1/0;,612,2
Epcot Jeans Ltd,"Chandana, joydebpur, Gazipur",Gazipur,Dhaka,1207,,1713450000,,,1/3;,No,No,1/1;,560,1
Epic Garments manufacturing Co Ltd,"Plot #11‐17, 32‐34 Adamje EPZ, Adamjee Nagar",Narayanganj,Dhaka,,2,7691986,,11,1/2; 2/1; 3/1; 4/1; 5/1; 6/1; 7/1; 8/2; 9/1; 10/1; 11/1;,No,No,,5050,2
EPOCH GARMENTS LTD,"54, SHANTINAGAR, DHAKA",Dhaka,Dhaka,1217,2,8313293,,1,"1/6,",No,No,N/A,850,1
Epyllion Knitex Ltd,"Jangaliapara, Banglabazar, Vhawal, Mirzapur, Gazipur Sadar",Gazipur,Dhaka,1706,,1730051843,,,1/4.2/1;,No,No,,740,1
EPYLLION KNITWEARS LTD.,"Plot # I / 6, Road # 6, Section # 7, Mirpur I / A",Dhaka,Dhaka,1216,2,9006747,,240,1/7;1/7;3/7;,No,No,,1900,1
EPYLLION STYLE LTD.,"Bahadurpur, Bhawal, Mirzapur",Gazipur,Dhaka,1940,2,9205619,,1,1/2;,No,No,,3200,3
Ershad Knit,"Latifpur, Sardagonj, Kashimpur, Gazipur Sadar, Dhaka",Gazipur,Dhaka,1710,,1726452737,,,1/3;,No,No,"1/1,2,3;",305,1
ESE Knitwear LTD.,"Plot No‐1147,Khejurbagan, Baro‐Ashuliya,Savar",Dhaka,Dhaka,1341,,1819243570,,,,No,No,,,1
Esquire Knit Composite Ltd.,"22/58, Kanchpur, Sonargaon, Narayangonj",Narayanganj,Dhaka,1430,2,9112539,,10,1/3; 2/3; 3/3; 4/4; 5/1; 6/3; 7/3; 8/1; 9/13; 10/3;,No,Yes,"1/0,1,2; 2/0,1,2; 3/0,1,2; 4/0,1,2,3; 5/0; 6/0,1,2; 7/0,1,2; 8/0; 9/0,1,2,3,4,5,6,7,8 ,9,10,11,12; 10/0,1,2;",5800,11
Esses Fashions Ltd.,"Beximco Industirial Park, Sarabo",Dhaka,Dhaka,,2,8618220,,1,1/1;,No,No,,1955,2
Ethical Garments Ltd.,"376, South Monda (3rd, 4th, 5th, 6th Floor), Saburbagh",,,,2,7274114,,,,No,No,,,2
Eton Fashions Ltd,64 Purana Paltan Lane,Dhaka,Dhaka,,,,,,NA,No,No,NA,,1
ETTADE JEANS LTD,"1670/2091, BUILDING NO# 3,WEST SHOLOSHAHAR, ATURAR ,DEPOT, PANCHLAISH, CHITTAGONG",Chittagong,Chittagong,,2,580957,,3,5;,No,No,‐,1400,3
Euro Jeans Ltd,"Vogra,Chowdhury Bari,Gazipur",Gazipur,Dhaka,1704,2,8814484,,2,"1/2,2/2,",No,No,"1/2,2/2;",1550,4
Euro Washing Ltd.,"Chowdhuri Bari, Vogra, Gazipur",Gazipur,Dhaka,,2,9264240,,1,1/1;,No,No,,218,1
EUROTEX KNITWEAR LTD.,"Nayamati, Kutubpur, Fatullah, Narayangong",Narayanganj,Dhaka,1400,2,7646605,,2,1/6; 2/0;,No,No,NA,1200,7
Eurozone Fashion Ltd.,"Plot#Ka‐189/3,Jamaj Road,Joar Shahara,Badda",Dhaka,Dhaka,1229,,1720339808,,1,1/6;,No,Yes,"1/2,3,4,5;",3000,1
Eve Garments,"Ashulia, Savar, Dhaka",Dhaka,Dhaka,1341,2,7741720,,1,6;,No,No,,870,1
Ever Fashion Tongi Ltd,"Plot # D‐204,205,206, BSCIC Industrial Area, Tongi, Gazipur",Gazipur,Dhaka,1710,,1713063130,,,,No,No,,,1
Ever Smart Bangladesh Ltd.,"BEGUMPUR, HOTAPARA, Bhabanipur",Gazipur,Dhaka,1740,,555149,,2,1/7; 2/1;,No,No,,1450,2
Everbright sweaters ltd,"Kathgora,Ashulia,Savar,Dhaka",Dhaka,Dhaka,1341,2,7791418,,,"1/6,",No,No,,1150,1
Everest Sweaters Ltd.,"M.H. Building, 15 Strand Road",,,,31,171762213,,,,No,No,,,1
EVITEX APPARELS LIMITED,"SHIRIR CHALA,, BHABANIPUR",Dhaka,Dhaka,,,,,,,No,No,,,1
EVITEX FASHIONS LIMITED,"Vill‐ Shirir Chala,, P.O. : Bhabanipur",Dhaka,Dhaka,,,,,,,No,No,,,1
EWS,"Akran Birula Savar, Dhaka",Dhaka,Dhaka,1216,,,,,,No,No,,,1
Exensive fashion Ltd,"Rajfulbaria, Savar, Dhaka",Dhaka,Dhaka,,2,7114175,,1,1/5;,No,No,No,480,1
Experience Clothing Co.Ltd,"Plot # 72,82, DEPZ. Ganakbari, savar, Dhaka",Dhaka,Dhaka,1349,,7789101,,2,"1/5,2/5;",No,No,"1/5,2/5;",3100,7
Faa Apparels Ltd.,"Joynabari, Hemayetpur, Savar",Dhaka,Dhaka,,,1723043111,,,,No,No,,,2
Fabin Apparels Ltd,"33/8 Esha kha road ,killarpul,Narayanganj",Narayanganj,Dhaka,1325,2,7645961,,1,,No,No,,215,1
Fabulous Fashions Ltd.,"Plot # 15‐16, Road # 04 Section # 07, Mirpur I/A",Dhaka,Dhaka,,,,,,NA,No,No,NA,,1
FAIR CHOICE GARMENTS LIMITED.,"DELUX HOUSE#03 (2nd FLOOR), 209/227 KULGAON, BALUCHARA",Chittagong,Chittagong,4214,31,2583451,,,"1/5,",No,Yes,"1/3,4;",260,1
FAIR WASHING LTD,"East Chandura,Shafipur,Kaliakoir",GAZIPUR,Dhaka,1751,2,9883481,,260 3,1/2;2/2;3/1;,No,No,Not Shared,750,1
FAIRLON GARMENTS LIMITED,"WEST DOGORI, BHAWAL MIRZAPUR, GAZIPUR.",Gazipur,Dhaka,1230,2,29564082,,1,2;,No,No,N/A,196,1
Fakhruddin Textiles Mills Limited,"Ghargharia, Master Bari, Kewa, Sreepur, Gazipur Gazipur",,Dhaka,1740,68,255142023,,11,1/3;2/6;3/3;4/1;5/1;6/1;7/1;8/1;9 /1;10/1;11/1;,No,No,,4500,10
FAKIR APPARELS LTD.,"16/17A BSCIC INDUSTRIAL AREA, ENAYETNAGAR, FATULLAH",Narayanganj,Dhaka,1400,2,7671300,,10,"1/9; 2/7; 3/11; 4/3; 5/6; 6/5; 7/1; 8/1, 9/1; 10/1",No,No,,5500,3
Fakir Apparels Ltd.,"A127‐131, 135‐138, 142‐145, B501‐503, Bscic Hosiery Industrial Estate, Enayetnagar, Fatullah, Narayanganj",Dhaka,Dhaka,1400,86,7671214,,9,1/10; 2/7; 3/10; 4/6; 5/6; 6/3; 7/2; 8/1; 9/1;,No,No,,5500,5
Fakir Fashion,"Dohargaon, Baliapara, Rupgonj",Narayanganj,Dhaka,1460,2,966677448,,11,1/7; 2/2; 3/2; 4/3; 5/4; 6/1; 7/1; 8/1; 9/1; 10/1; 11/1;,No,No,,6000,6
FAKIR KNITWEARS LTD.,"KAYEMPUR, FATULLAH",Narayanganj,Dhaka,1400,2,764137980,,12,1/8; 2/6; 3/5; 4/14; 5/3; 6/2; 7/1; 8/3; 9/3; 10/1; 11/1; 12/1;,No,No,,9000,4
Faltex Composite Limited,"B18 (PART), BSCIC, Industrial Estate, Tongi, Gazipur.",Gazipur,Dhaka,1341,2,9816946,,2,1/6 ; 1/1;,No,Yes,"1/2 , 3 , 4 ,5 , Rooftop ; 1/0;",495,1
FAME DESIGN LTD.,"Plot No: A115/116, Bscic Hoisiery Shilpanagary,",Narayanganj,Dhaka,1421,2,7670400,,,,No,No,,,2
Fame Knitwears Ltd.,"Hazi Kudrat Ali Molla Super Market,1 Harunabad,Pallabi,Section‐12",Dhaka,Dhaka,1216,,1718115580,,1,8;,Yes,Yes,"1/2,3;",3500,3
Fame Sweater Ltd.,"124,Darail,Shataish,Tongi",Gazipur,Dhaka,1712,,1718115580,,1,7;,No,Yes,"1/0,1,2,3,4;",1400,5
Familytex (BD) Ltd,"Plot 47‐48, Road 05 Sector 4, CEPZ",Chittagong,Chittagong,,2,7615933,,5,1/5; 2/1; 3/1; 4/1; 5/1;,No,No,‐,1435,4
Fancy Fashion,"1153‐54, Shahid Siddique road,Khailkur, board bazar, gazipur, Dhaka",Gazipur,Dhaka,,,1711563140,,1,1/5;,No,No,,1896,5
Far East Knitting & Dyeing Industries Ltd,"Chandona, Thana‐Kaliakoir, Gazipur",Gazipur,Dhaka,,2,7672022,,6,1/5; 2/7; 3/2; 4/1; 5/1; 6/1;,No,No,‐,4298,9
FARIHA KNIT TEX LTD.,"Westmasdair Road, Enayetnagar, Fatullah",Narayanganj,Dhaka,1400,2,76703813,,8,1/7; 2/6; 3/3; 4/2; 5/3; 6/1; 7/1; 8/1;,No,No,,3200,10
FARKANTEX LTD.,"PLOT#1‐2, SECTOR #5/A, CEPZ , CHITTAGONG",Chittagong,Chittagong,4223,31,741520,,2,1/1;2/1;,No,No,Not Shared,968,1
Farmin Fashion Design Ltd.,"154, Kamrabad, Aturar Depot, P.O. Amin Jute Mills,",Chittagong,Chittagong,,31,682918,,,,No,No,,,2
FARR CERAMICS LIMITED,"Noulapara, Bhabanipur",Gazipur,Dhaka,1700,2,9340991,,8,1/1;2/1;3/1;4/1;5/1;6/1;7/1;8/1;,No,No,All,942,4
Farseeing knit composite Ltd,"Faridpur,Telihati, Sreepur",Gazipur,Dhaka,1703,2,8917890,,1,1/1;,No,No,‐,441,2
Farzana Fashion World Ltd.,"N‐224/A, Nur Complex, Dighir Par, D.T. Road, Dewanhat, Double Mooring",Chittagong,Chittagong,,31,717231,,,,No,No,,,1
Fashion 2000 Ltd,367/1 Senpara parbota Mirpur Dhaka,Dhaka,Dhaka,1216,2,8020125,,248,1/10;,No,No,,2000,2
Fashion Asia Ltd.,"4/2A,Plot#49&57,135 Gopalpur, Monnunagar,Tongi, Gazipur",Gazipur,Dhaka,1710,,1833313626,,,1/7;2/2;,No,No,N/A,2000,5
Fashion Crafts & Design Ltd.,"47, Tagnogpara, Chandona, Gazipur, Ghaga, Dhaka",Gazipur,Dhaka,1702,2,9261896,,1,1/3;,No,No,1/3;,,2
Fashion Exposure Ltd,"4 Harunabad, Mollah Market,Pallabi, Mirpur‐12, Dhaka",Dhaka,Dhaka,1221,2,9004002,,1,"1/9,",Yes,Yes,"1/9,",722,1
FASHION FLASH LTD,"149, Shah Kabir Mazar Road, Azampur, Uuttara, Dhaka",Dhaka,Dhaka,1230,2,8960710,,1,1/5;,No,No,NA,780,5
Fashion Forum,"367/1, Senpara Parbota",Dhaka,Dhaka,,,,,,,No,No,,,1
Fashion Forum Limited (Ashulia),Jamgara,Dhaka,Dhaka,,2,9006232,,1,1/5;,No,No,All,3354,1
Fashion Forum Ltd,"53, 54 Diakhali, Zamgora Asulia Savar",Dhaka,Dhaka,1216,2,7790733,,,1/7;,No,No,,4000,4
Fashion Knit Garments Ltd (Pride),"4,Karnapara,Savar",Dhaka,Dhaka,1340,2,7747952,,5 4,1/5; 2/1; 3/1;4/8;,No,No,,2850,3
FASHION NETWORK LTD.,"86, New Elephant Road, New Market, Dhanmondi",Dhaka,Dhaka,1205,,193729660000,,,,No,No,,,1
Fashion Step Limited,"16/3, Tilargati Road, Shataish, Gazipura, Tongi, Gazipur",Gazipur,Dhaka,1217,,1713206096,,1,1/5;,No,No,,500,1
Fashion Suits and Trousers ltd,"Chhoydana, K.B.Bazar, National University",Gazipur,Dhaka,,2,9291397,,3,1/5; 2/6; 3/7;,No,Yes,"1/0,1,2,3,4; 2/0,1,2,4,5; 3/0,1,2,3,4,5;",593,8
Fashionit Co. Ltd.,"Hazi Hamidullah Mansion, Jamgora, Ashulia, Saver, Dhaka",Dhaka,Dhaka,,,1740914035,,1,1/10;,No,No,,1403,1
Fashionit Company,"Hazi Hamidullah Mansion, Jamgara, Ashulia, Savar, Dhaka",Dhaka,Dhaka,1349,2,740914035,,1s,Building 1 ‐ 9 Storied,No,No,,1189,2
Fashrobe Garments Ltd,"2nd Floor, Malibagh Super Market, 468,, DIT Road, Malibagh",Dhaka,Dhaka,1217,2,9343947,,0,1/4;,Yes,No,shopping center In the 2 first floors,2000,1
Fast Wear Ltd,"68/Y, Sagarika Road,Phartali, Chittagong.",Chittagong,Chittagong,4219,31,752871,,1,"1/6,",Yes,Yes,"1/4,",760,1
Fatullah Fashion ltd,"Post office road, Fatullah",Narayanganj,Dhaka,1420,2,7671787,,,,No,No,,350,1
FCI (BD) Ltd.,"Plot No:36‐39, DEPZ, Ganokbari, SAVAR",Dhaka,Dhaka,,2,7788228,,4,1/2; 2/2; 3/2; 4/1;,No,Yes,1/1;,1950,3
Fergasam (Bangadesh),"Sfb, S‐F 3, 1st ‐ 3rd Floor, Chittagong Export Processing Zone,Chittagong",Chittagong,Chittagong,,2,31741404,,,Building ‐ 4 Storied (shared with Regency garments),No,No,,2148,3
FGS Denim Wear Ltd,"Kathgora,Zerabo, Ashulia, Dhaka",Dhaka,Dhaka,1000,,1755645606,,,1/2;,No,No,,950,2
Fgs Knit Wear Ltd.,"Beltola, Mirzanagar, Savar",Dhaka,Dhaka,1334,2,8913722,,1,"1/0,",No,No,,650,1
Fiat Fashion Ltd,"878, 879 , Sharifpur , Gazipur Sadar , Gazipur",Gazipur,Dhaka,1704,2,9292751,,2,1/6 ; 2/1;,No,Yes,"1/4,5 ; 2/0;",600,3
Fin Fashion Ltd,"10/A, Bonomala Road,Duttapara Road, Haji Market, Tongi, Gazipur",Gazipur,Dhaka,1712,2,9815718,,1,1/7;,No,No,,648,1
FINE STITCH APPRAELS LTD,"98 Chaydana ,Signboard , Gazipur",Gazipur,Dhaka,,2,9888865,,,"1/6,",No,Yes,"1/4,5,6;",1023,1
Finetex Knittwear ltd,Chowdhury complex,Narayanganj,Dhaka,,2,7643173,,1,1/4;,Yes,No,1/3;,750,1
FIRST WEAR LIMITED.,"68/Y, SHAGARICA ROAD, PAHARTALI, PAHARTALI THANA, CHITTAGONG",Chittagong,Chittagong,4219,31,752871,,,"1/6,",No,Yes,"1/3,4,5,6;",600,1
Florence Fashions Ltd,284.Ibrahimpur.Mirpur.Dhaka,Dhaka,Dhaka,1216,2,9871604,,1,"1/10,",Yes,Yes,"1/5,",850,3
Florescent Apparels,"81, Barabagh, Mirpur, Section 2, Dhaka",Dhaka,Dhaka,1216,2,8013739,,,,No,No,,450,1
Foptex (Pvt.) Ltd.,"Plot # A/24‐25, VSCIC Hosiery I/A Fatullah",Chittagong,Chittagong,,2,7672036,,,,No,No,,,1
Fortis Garments Ltd,"Holding ‐ 100/1, Block‐B,Shaheed Mosharraf Hossain Road, Purba Chandora, Shafipur,Kalikoir, Gazipur",Gazipur,Dhaka,1751,2,8412042,,1,1/7;,No,No,1/7;,1500,3
Fountain Garments Manufactorin,"Plot 61 ‐ 62, Baipal, Gizir Chat, Epz Road, Savar, Dhaka",Dhaka,Dhaka,1211,2,7702068,,,Building 1 ‐ 4 Storied,No,No,,1150,2
Four Brothers Fashion,"Dhaka Uddan, Beribadh, Mohammad pur, Dhaka Dhaka",,Dhaka,1207,,8125608,,1,"1/9,",Yes,Yes,"1/9,",2000,4
FOUR DESIGN (PVT.) LTD.,"Plot No. B359/360, BSCiC Hosiery I/E, Shasongaon, Enayetnagar, Fatullah, Narayanganj",Narayanganj,Dhaka,1400,2,7672087,,,1/8;,No,No,"1/1,2,3,4,5,6,7,8;",250,2
Four H Apparels Ltd.,"295, Jalalabad, Hathazari Road, Chittagong",Chittagong,Chittagong,4214,31,2584249,,157,1;,No,No,,1280,1
Four H Fashions Ltd.,"778,D.T.Road, Askarabad, Double Mooring, Chittagong",Chittagong,Chittagong,4224,,1818517490,,3,6;,No,No,N/A,520,2
Four H Intimates Ltd,"1154 DT Road, West Dhaniala Para",Chittagong,Chittagong,4100,,2510539,,1,1/7;,Yes,Yes,"1/7/5,6,7;",700,1
Four H Lingerie Ltd.,"BRTC Bus Depot, Baluchara",Chittagong,Chittagong,4335,,258032425,,2,1/3; 2/1;,No,No,,950,6
FOUR WING LIMITED,"PLOT # M/2, MAIN ROAD, MIRPUR‐14",Dhaka,Dhaka,,2,9011471,,1,1/9;,No,Yes,"1/0,2,3;",550,3
Freedom Knitwear Ltd.,"Plot # B‐504, Sasongaon,",NARAYANGANJ Dhaka,,,,1715393116,,,,No,No,,,1
French Fashions Knitting Pvt. Ltd.,"Plot no: 117, 125‐126, Adamjee EPZ, Siddhirgonj Narayanganj",,Dhaka,1431,,1729098816,,5,1/4; 2/1; 3/1; 4/1; 5/1;,No,No,‐,415,2
Fresh Fashion Wear,"638 Sharifpur, National University Gazipur Sadar Gazipur",,Dhaka,,,,,,,No,No,,,2
LIMITED,"13, W.P. MOHARA INDUSTRIAL ESTATE , KALURGHAT, CHANDGAON",Chittagong,Chittagong,,31,670024,,,"1/2,",No,No,Not Shared,675,1
Friends Stylewear Ltd.,"Maukhan, Harbald Sadar, Gazipur, Dhaka",Gazipur,Dhaka,1704,2,9816611,,2,1/2; 2/1;,No,No,1/2; 2/1;,,1
FUNNY SWEATER LTD,"A.R.Complex,Godnail,Chowdhurybary Shiddirganj",NARAYANGANJ Dhaka,,,2,7641801,,1,,No,No,,500,1
Future Clothing Ltd.,"Chatol Market, Surabari, Kashimpur, Gazipur sador, Gazipur",Gazipur,Dhaka,,,,,,,No,No,,,1
Fyne Sweaters Ltd.,"Degarchala, National University, Joydebpur, Gazipur, Dhaka",Gazipur,Dhaka,1704,2,9293505,,1,1/7;,No,Yes,1/6;,,1
G. K. Garments Ltd..,"89, Berulia Road, Savar, Dhaka",Dhaka,Dhaka,1340,2,7745622,,1,"1/8,",No,Yes,2ND FLOOR,705,1
Garib & Garib Company Ltd,"Vogra, Gazipur",Gazipur,Dhaka,1702,2,9257048,,4,"1/6,2/6,3/1,4/1;",No,No,,3000,6
GARIB&GARIB COMPONY LTD.,"VOGNO‐GOZIPUR SADAR., GOZIPUR",Gazipur,Dhaka,,2,7790755,,,,No,No,,,1
GARMENTS EXPORT VILLAGE LTD,"Maa Tower KBM Road, Tongi I/A Tongi, Gazipur",Gazipur,Dhaka,1710,2,9814200,,1,1/10;,No,No,NA,2850,7
Gartex Garments Ltd.,"1731, Mostafa Hakim Collage Road, Cornel Hat, North Kattali,Pahartai, Chittagong",Chittagong,Chittagong,4217,,1812375498,,1,1/4;,No,No,,500,1
Gazipur Fashion ltd,"Konabari bazar,Konabari",Gazipur,Dhaka,1751,,,,,"1/5,",Yes,No,"1/4,",500,1
Geebee (Bangladesh) Limited,"Karnaphali, EPZ, North Patenga",Chittagong,Chittagong,4204,31,2503399,,1,1/2;,No,No,All,1191,1
Generation Next Fashions Ltd,"Dhonaid, Earpur, Savar,",Dhaka,Dhaka,1341,2,682555161,,6,1/6; 2/2; 3/1; 4/1; 5/1; 6/1;,No,No,‐,2178,6
Genesis Fashions Ltd.,"228/1, Tin Sarak (1st floor) Luxmipura, Joydevpur Gazipur",,Dhaka,,2,9264012,,4,1/5;2/1;3/1;4/1;,No,Yes,"1/1,4;",1000,1
GH HAEWAE CO LTD,"GH Haewae Co Ltd. Plot # 19‐24, Sector ‐ 08, CEPZ",Chittagong,Chittagong,,2,800156,,2,1/5; 1/1;,No,No,,3300,4
Giant Apparel Ltd,"Mouza, Chandora, Jaydevpur Chow Rasta,Joydebpur, Gazipur 1700, dying : Shafi Processing Industries Ltd. 2, Tongi, BASIC,",Gazipur,Dhaka,1700,,,,2,"1/8, floor # 4,5,1/1, under one ownership & management.",No,No,,570,3
Giant Knit,"Mouza : Chandana, Chowrasta, Joydebpur, Gazipur",Gazipur,Dhaka,,2,9252518,,2,1/3; 2/8;,No,No,,382,2
GIVENSEE GARMENTS LTD.,"Bishia, Kuribari, Bokran, Monipur, Bhabanipur, Gazipur",Gazipur,Dhaka,1749,2,8932813,,,1/1.,No,No,Not Shared,1698,1
Global Apparel Sourcing Group LTD,"House#457(1st floor), Road#8 (east), DOHS, Baridhara, Dhaka",Dhaka,Dhaka,1206,,1611450015,,,1/6;,Yes,Yes,1/1;,30,1
Global Apparels Ltd.,"49, NP Kalurghat Heavy Industrial Area, Chittagong",Chittagong,Chittagong,4208,31,670463,,1,"1/8,",No,Yes,2nd Floor,700,1
Global Fashion Garments Ltd.,"89, Berulia Road, Savar, Dhaka",Dhaka,Dhaka,1340,2,7745621,,1,"1/8,",No,Yes,"Ground Floor, 1st Floor.",690,2
Global Garments Ltd.,"11, Kalurghat Heavy Industrial Area, Chittagong",Chittagong,Chittagong,4208,31,670463,,1,"1/1,",No,No,‐,1400,1
GLOBAL KNITTWEAR,"Vhuain Tower, Plot‐110, Gazir Chat, Jamgora, Asulia, Savar, Dhaka, Bangladesh.",Dhaka,Dhaka,1349,,,,1,1/4;,No,No,NA,750,1
Global Knitwear Ltd.,"Bhuiyan Tower, Plot No‐10, Mouja‐ Diakhali, Jamgora, Ashulia, Savar.",Dhaka,Dhaka,,,1711977287,,1,"1/0, 1/1, 1/2, 1/3;",No,No,,2100,1
Global Merchant Ltd. (Tulip),"Chandona, Collegepara. Gazipur",Gazipur,Dhaka,1702,2,9264112,,1,1/7;,No,No,,1098,1
Global Merchants,"Baimail, Konabari, Kashem Cotton Mills, Konabari, Joydevpur",Gazipur,Dhaka,,,,,,,No,No,,,4
Global Outerwear Ltd.,"89, Berulia Road, Savar, Dhaka",Dhaka,Dhaka,1340,2,7745623,,3,"3/8,",No,Yes,"1/ 3, 4, 6;",2100,4
Global Shirts Ltd.,"49, NP Kalurghat Heavy Industrial Area, Chittagong",Chittagong,Chittagong,4208,31,670463,,2,"1/8, 2/10;",No,Yes,1/3;,1300,1
"Global Specialised Garments Ltd ‐1Hazra Complex, 52 Sadarghat Road",,Chittagong,Chittagong,4000,31,612694,,1,1/6;,Yes,No,"1/1,2,3,4,5;",729,1
Global Specialised Garments Ltd. Unit‐02,12‐13P Kalurghat Heavy Industrial Area,Chittagong,Chittagong,3343,31,622209,,1,1/4;,No,No,,2673,2
Global Trousers Ltd.,"11, Kalurghat Heavy Industrial Area, Chittagong",Chittagong,Chittagong,4208,31,670463,,1,"1/4,",No,Yes,"1/1, 2, 3;",1300,1
GLOBAL Wisdom International Limited.,ALIF APPARELS LIMITED. 23/8B & 23/8C HOLDING NO. 24/2 KHILJI ROAD SHYAMOLI CINAMA COMPLEX BLDG. (3R,Dhaka,Dhaka,,2,993639,,1,1/5;,Yes,Yes,1/2; 1/5,350,1
GLOBAL Wisdom International Limited.,"HONEYWELL GARMENTS LTD. DAG NO. 1010,1011, AMBAGH, MOUZA‐BAGIYA, KONABARI, GAZIPUR",Gazipur,Dhaka,1700,2,993639,,1,1/4;,No,No,All,560,1
Globus Garments Ltd.,"C‐35, Purabi, Mirpur",Dhaka,Dhaka,1216,,1841296483,,1,6;,Yes,Yes,1/4;,2300,2
Glory Dresses ltd,"Shakhertak,Adabar,Mohammadpur",Dhaka,Dhaka,1207,,,,,"1/1,",Yes,No,only 1st flor ( total building‐G.F & 1st floor),200,1
Glory Fashion Wear Limited,"247/248 , West Tejgaon I/A",Dhaka,Dhaka,1207,2,9898475,,1,1/6;,Yes,No,"1/1,2,3,4,5;",952,1
GLORY FASHIONS LTD,"House ‐79, New Airport Road, Chairmanbari, Dhaka",DHAKA,Dhaka,1213,2,8713494,,,"1/8,",Yes,Yes,"1/3,5,6,7;",1050,1
Glory Industries ltd,"7/A Sholashahar Light Industries Area, Baizid Bostami, Nasirabadh",Chittagong,Chittagong,,,683580,,2,1/6;2/2;,No,No,,1750,1
GMS Composite,"Sardagonj,Kashimpur Gazipur",Gazipur,Dhaka,,,1711566433,,5,1/7;2/7;3/7;4/7;5/7;,No,No,,11242,1
LTD,"SF SFB‐2, KEPZ, NORTH PATENGA, PATENGA THANA",Chittagong,Chittagong,4203,31,2501461,,,"1/3,",No,No,Not Shared,1500,1
Gold Star Fashions Ltd,"B‐193, Bscic, Tongi, Gazipur",Gazipur,Dhaka,,2,9817815,,1,1/7;,No,No,,1192,1
Gold Star Garment Ltd,"13/1, Ring Road ‐ 2nd to 7th Floor, Shamoly, Dhaka",Dhaka,Dhaka,1207,2,9125989,,,,Yes,Yes,"1/2; 2/4, 5, 7;",,1
