"V2","typ"
"KDS Fashions Ltd.","accord"
"Keen App.Ltd.","accord"
"Kento Asia Limited","accord"
"Kera/ Zahintex Ind.Ltd Unit‐3&4","accord"
"Keya Knit Composite Ltd.","accord"
"Khaja Attires","accord"
"Kimberley Apparels Ltd","accord"
"KIMIA APPARELS LTD.","accord"
"KIMS CORPORATION Ltd","accord"
"Knit & Knitex Ltd","accord"
"KNIT ASIA LIMITED","accord"
"Knit Asia Limited. Unit‐3","accord"
"Knit Asia Ltd (Unit ‐2)","accord"
"Knit Asia Ltd.","accord"
"Knit Bazar (Pvt.) Ltd.","accord"
"KNIT CONCERN LTD.","accord"
"Knit Export (Bd) Ltd","accord"
"Knit Express Ltd. (C&A Group)","accord"
"Knit Fashion","accord"
"KNIT HOUSE LTD","accord"
"Knit Plus Ltd","accord"
"Knit Studio Ltd.","accord"
"Knit Syndicate","accord"
"KNIT ZONE MODE (PVT.) LTD.","accord"
"KNITEX APPARELS LTD","accord"
"Knitivo Fashion Limited","accord"
"Knittex Industries Limited","accord"
"KS APPARELS LTD.","accord"
"Kuliarchar Sweater Industries Ltd","accord"
"KUMUDINI APPARELS LTD","accord"
"Kushiara Composite Knit Industries Ltd.","accord"
"Garment Corporation Limited)","accord"
"L Usine Fashion Ltd ( Unit‐2)","accord"
"L Usine Fashion Ltd.(Unit‐1)","accord"
"Label For Us","accord"
"Lakhsma Sweaters Ltd","accord"
"Lalmai Footwear Ltd.","accord"
"Landmark Fabrics Ltd","accord"
"Latest Fashion","accord"
"Latest Garments Ltd","accord"
"Latif Fashion Ltd.","accord"
"Latif Knitting Mills Ltd.","accord"
"Lax Lingerie Ltd.","accord"
"LEGACY FASHION LTD","accord"
"Legend Textiles Ltd","accord"
"LEMOND FASHIONS LTD","accord"
"Lenny Apparels Ltd.","accord"
"LENNY FASHIONS LTD.","accord"
"Lenny Fashions Ltd. Unit 2SFB 1 DEPZ, 1FL WestWing, 2FL Eastwing,","accord"
"Le‐Nouveautex (Pvt.) Ltd.","accord"
"Libas Knitwear Ltd.","accord"
"LIBAS TEXTILES LTD.","accord"
"LIBERTY FASHION WEARS LIMITED","accord"
"Liberty Garments Industries Ltd.","accord"
"LIBERTY KNITWEAR LTD.","accord"
"Life Textile (Pvt.) Ltd.","accord"
"Lithe Apparels Ltd","accord"
"Liz Fashion Industry Ltd.","accord"
"LIZ FASHION INDUSTRY LTD.","accord"
"LLOYD Textile","accord"
"Lodestar Fashions Ltd.","accord"
"LOGOS APPARELS LTD","accord"
"Love craft Garments( Pvt) Ltd","accord"
"Loyal Apparels Ltd","accord"
"Luman Fashions LTD","accord"
"Lumbini Limited","accord"
"M & M Shirts Ltd","accord"
"M&M Dresses Ltd","accord"
"M*S Sterling Styles Ltd.","accord"
"M. K. Fashions Limited","accord"
"M. M. Knitwear Ltd.","accord"
"M. N CLOTHING LIMITED.","accord"
"M. N KNITWEARS LIMITED.","accord"
"M.A.C.K Shirts Ltd","accord"
"M.B. Knit Fashion","accord"
"M.I.T Apparels","accord"
"M.N Sweaters ltd","accord"
"M.S.Attires Ltd.","accord"
"M/S MAXCOM INTERNATION (BD) LTD","accord"
"M/S. JANGWON CORPORATION LTD.","accord"
"M/S. MEGA CHOIS KNITWAER LTD.","accord"
"M/S. OLIO APPARELS LTD","accord"
"M/S.HRB APPARELS LTD.","accord"
"MABTEX WEAR LTD","accord"
"Maceton Ldt Bangladesh","accord"
"Madinaple Fashion Craft Ltd.","accord"
"Magpie Composite Textile Ltd.","accord"
"MAGPIE COMPOSITE TEXTILE LTD.","accord"
"MAGPIE KNIT WEAR LTD","accord"
"MAHBOOB APPARELS LTD","accord"
"Mahdeen Sweater Ltd.","accord"
"MAHMUD JEANS LIMITED","accord"
"Majumder Apparels Ltd","accord"
"Majumder Fashions Ltd.","accord"
"Majumder Garments Ltd.","accord"
"Malz","accord"
"Mamiya OP Bangladesh Ltd","accord"
"MANAMI FASHION LTD","accord"
"Man's Attires Ltd","accord"
"MANTA APPARELS LTD","accord"
"Marina Apparels Limited","accord"
"Mark","accord"
"MARK 2000 LIMITED","accord"
"Mark Designers Limited","accord"
"Mark Mode Ltd.","accord"
"Marma Composite Ltd.","accord"
"Mars Sportswear Ltd.","accord"
"Mars Stitch Ltd.","accord"
"Martin Knitwear PVT LTD","accord"
"Maryland Garments","accord"
"MAS Intimates Bangladesh Pvt Limite","accord"
"Masco Cottons Ltd","accord"
"Masco Industries Ltd","accord"
"Mascom Composite Ltd","accord"
"MASCOT GARMENTS LTD","accord"
"MASCOTEX LIMITED","accord"
"Masihata Sweaters Ltd","accord"
"Mastrade","accord"
"Mastrade International Garments Ltd.","accord"
"Matrix Dresses Ltd.","accord"
"MATRIX SWEATERS LIMITED","accord"
"Mavis Garment Ltd.","accord"
"Max Sweater (Bd) Ltd","accord"
"Maxcom International (Bd.) Ltd.","accord"
"Mayc's Garments Ltd.","accord"
"MBM GARMENT LTD","accord"
"Mccoy Sweater","accord"
"Meditex Industries Limited","accord"
"Medona Fashions Ltd.","accord"
"Meek Sweater Limited","accord"
"Mega Dyeing Ltd.","accord"
"Meghna Dresses Limited","accord"
"MEGHNA KNIT COMPOSITE LIMITED","accord"
"Mehnaz Styles & Craft","accord"
"Mellow Fashion Ltd.","accord"
"MENS APPARELS LIMITED","accord"
"Mens Fashion Ltd.","accord"
"MERCURY KNIT WEAR (PVT) LTD","accord"
"MERIM CO. LTD","accord"
"Merimo Limited","accord"
"Mesh Exports House Ltd","accord"
"METRO KNITTING & DYEING MILLS","accord"
"02)","accord"
"MG Knit Flair Ltd.","accord"
"MG Shirtex Ltd","accord"
"MHC APPARELS (PVT) LTD","accord"
"MHC WEARS (PVT.) LTD.","accord"
"Ltd (sister concern of Midasia)","accord"
"Midland Knitwear Ltd.","accord"
"Mifkif Apparel Ltd.","accord"
"Miles Fashion (Durgapur, Ashulia)","accord"
"Miles Fashion (FATULLAH, NARAYANGANJ) A‐16/17,BSCIC INDUSTRIAL AREA,","accord"
"Miles Fashion (GANAKBARI,SAVAR)","accord"
"Miles Fashion (Jarun ,Konabari)","accord"
"Miles Fashion (Khajur Bagan, Ashulia)","accord"
"Miles Fashion (Sanarpar, Siddirganj)","accord"
"Miles Fashion (Surabari, Kashimpur)","accord"
"MILLENNIUM TEXTILES ( SOUTHERN ) LTD","accord"
"MIM Design Ltd","accord"
"MIM Dresses Ltd","accord"
"MIM Sweater Ltd","accord"
"Minimax Ltd.","accord"
"MIRABELLA DRESSES LTD.","accord"
"MIRAGE WEARS (PVT) LIMITED","accord"
"Misami Garments Ltd","accord"
"Mission Fashion","accord"
"Mitali Apparels Ltd.","accord"
"MM Knit Wear","accord"
"Modele De Capital Ind Ltd","accord"
"MODISTE (CEPZ) LTD","accord"
"Mohammadi Apparels Ltd","accord"
"MOHAMMADI FASHION SWEATERS LTD","accord"
"Mohammadi Group Ltd.","accord"
"Mohammadi Knit star","accord"
"MOHARA ASIAN APPARELS","accord"
"MOMEN APPARELS","accord"
"Mondol Fabrics Ltd.","accord"
"Mondol Fashions Ltd.","accord"
"MONDOL KNIT TEX LTD","accord"
"Moni fashion ltd","accord"
"Monira Knit Apparels Ltd.","accord"
"MONNO ATTIRE LIMITED","accord"
"Monno Ceramic","accord"
"Moon Readywears Ltd.","accord"
"Moonlight Garments Ltd","accord"
"Moonlux Knit Garments Ltd.","accord"
"MOTALEB MONOWARA COMPOSITE","accord"
"Mother Colour Ltd.","accord"
"Mozart Knit Ltd","accord"
"MT SWEATER LTD","accord"
"Muazuddin Knit Fashion Limited","accord"
"MUAZUDDIN TEXTILE LTD","accord"
"Mukul Knitwear Limited","accord"
"Multi Modern Appareals Ltd","accord"
"Multifabs Ltd","accord"
"Multisafh Ltd.","accord"
"Murad Apparels Ltd.","accord"
"Ltd.(Unit‐2))","accord"
"M‐Yew Fashion Ltd.","accord"
"N. T. Apparels Ltd.","accord"
"N.A Garments","accord"
"N.A.Z Bangladesh Ltd.","accord"
"N.A.Z. BANGLADESH LIMITED","accord"
"N.K.L. Apparels Ltd.","accord"
"N.R.KNITTING MILLS LTD","accord"
"NAAB FASHIONS LTD.","accord"
"Naba Knit Composite Ltd. (SONIA Limited)","accord"
"Nafa Apparels Ltd.","accord"
"NAHK Singapore Pte. Ltd","accord"
"Nandan Apparels Ltd.","accord"
"Naomi Sweaters Ltd.","accord"
"Nar Sweaters Limited","accord"
"Nassa Basics Ltd.","accord"
"Natural Apparels Ltd.","accord"
"Natural Denim Ltd","accord"
"NATURAL SWEATER VILLAGE LTD","accord"
"Navid woolwear ltd","accord"
"Navid Woolwears Limited","accord"
"Navy Hosiery","accord"
"Naz Knit Wear Ltd.","accord"
"Naziat Sweaters Ltd.","accord"
"Nazmul Hosiery (Pvt)ltd.","accord"
"ND Knit Composite Ltd","accord"
"Need Dresses (Pvt.) Ltd","accord"
"Needle Drop Ltd","accord"
"Neo Fashion Ltd.","accord"
"Network Clothing Ltd.","accord"
"New Dacca Industries Ltd","accord"
"New Era Fashions MFRS.(BD) Ltd","accord"
"New Frontier","accord"
"New Horizon BD Limited","accord"
"NEW Ideas Trading.","accord"
"New Light Sweaters Ltd","accord"
"New Line Clothings Ltd","accord"
"NEW MORNING APPARELS LIMITED","accord"
"New Town Knitwear Co.LTD","accord"
"Newage Apparels Ltd.","accord"
"NEWAGE GARMENTS LIMITED","accord"
"NEWTECH APPARELS LTD","accord"
"Newtex Design Ltd","accord"
"Next Sourcing Ltd","accord"
"Nexus Fashion LTD","accord"
"Nexus Knit","accord"
"Nexus Sweater Ind.(pvt) Ltd.","accord"
"Niagara Textiles Ltd","accord"
"NIGHTINGALE FASHION LTD","accord"
"Nipa Fashionwear Ltd","accord"
"Nipa Knitwear Company","accord"
"Nirzhor Knitwear Ltd","accord"
"Nkk Knitwear Ltd.","accord"
"Nofs Garments Ltd.","accord"
"Noman Fashion Fabrics Ltd.","accord"
"Noman Terry Towel Mills Ltd","accord"
"Norban Comtex Ltd.","accord"
"Norp Knit Industries Ltd Unit 1North Khailkur, National University","accord"
"Norp Knit Industries Ltd Unit 2","accord"
"Northern Corporation Limited","accord"
"Northern Fashion","accord"
"Novel Hurricane Knit Garments Ltd.","accord"
"NR EXPORTS","accord"
"NR Knit Composite","accord"
"NR Knitting Mills (own production)","accord"
"NRN Fashion","accord"
"NRN Printing & Accessoreid (Unit‐1)","accord"
"NRN Printing & Accessoreid (Unit‐2)","accord"
"NTKC","accord"
"NUCON GARMENTS LIMITED","accord"
"Nurani Dyeing & Sweater Ltd.","accord"
"NZN Garments Ltd","accord"
"OASIS HI‐TECH SPORTSWEAR LIMITED.","accord"
"Oasis Unit 2Kashem Complex , Gacha Roard , Gazipur","accord"
"OCEAN APPARELS LIMITED","accord"
"OCEAN Garment","accord"
"Ocenian Fashion","accord"
"Odessa Fashions Limited","accord"
"Oeko‐Tex Limited","accord"
"Oishi fashion ( pvt) ltd.","accord"
"Okamoto (Jamgora, Ashulia)","accord"
"Okamoto (Kaliakoir, Gazipur)","accord"
"Old Town Fashions Ltd","accord"
"One Composite Mills","accord"
"One Up Sweaters Ltd","accord"
"ONE WAY TEXTILE LTD.","accord"
"ONUS DESIGN LTD","accord"
"Opex Fashions Ltd.","accord"
"Opex Stylewear Ltd","accord"
"OPTIMUM FASHION WEAR LTD","accord"
"Optimum Limited","accord"
"ORBITEX KNITWEAR LIMITED","accord"
"ORCHID","accord"
"Orchid Garments","accord"
"Orchid Sweater Ltd","accord"
"Organic Jeans Ltd.","accord"
"Orient Allure Lingerie Ltd.","accord"
"Oriental Industrial Co. Ltd.","accord"
"Orion Knit Textiles Ltd.","accord"
"Ornate Knit Garments Industries ltd","accord"
"ORNOB FASHION WEAR LIMITED","accord"
"Osanian Style and Fashion Wear","accord"
"Ospinter Garments Ltd.","accord"
"Outright Fashion Ltd.","accord"
"Outwear Fashion Ltd","accord"
"OVEN BOTTOM","accord"
"P. A Knit Composite Limited","accord"
"P.M. Knittex ( Pvt.) Ltd.","accord"
"P.N. Composite Limited","accord"
"Pabna knit Design ltd.","accord"
"PACIFIC BLUE (JEANS WEAR) LTD","accord"
"Pacific Enterprise","accord"
"Pacific Jeans Ltd","accord"
"Pacific Sweaters Ltd.","accord"
"Paddocks Jeans Ltd.","accord"
"PADMA POLYCOTTON KNIT FABRICS LTD","accord"
"PADMA SATEL ARAB FASHION LTD","accord"
"Padma Sweaters","accord"
"Padma Wears Ltd.","accord"
"Palmal knitwear Factory Ltd.","accord"
"Palmal Knitwear Factory Ltd. (Unit‐2)","accord"
"PAN PACIFIC SWEATERS LTD","accord"
"Panache","accord"
"Panache Knitted Creations Ltd","accord"
"Panagea Fahion Wear Ltd.","accord"
"Panasia Clothing Ltd","accord"
"Panasia Sweaters Ltd","accord"
"PANDORA FASHION LTD","accord"
"Pandora Sweaters Ltd.","accord"
"PANORAMA APPARELS LTD.","accord"
"PANSHI KNIT PVT.LTD.","accord"
"PANTALOON DESIGN LTD","accord"
"PANTALOON JEANS LTD","accord"
"Pantaloon Textiles Ltd","accord"
"Panwin Degine Ltd","accord"
"Panwin Fashion Ltd.","accord"
"Panwin Garments Ltd","accord"
"Paolo Footwear (B.D.) Ltd","accord"
"Papella Limited","accord"
"PAPILLON KNIT APPARELS LTD","accord"
"Asia Limited)","accord"
"Paragon Ceramic Industries Ltd.","accord"
"Parity Fashion Ltd.","accord"
"Parkscene Bangladesh Ltd.","accord"
"Parkview","accord"
"PARKVIEW DRESSES LTD","accord"
"PTV., Ltd.","accord"
"Peak Apparels","accord"
"Pearl Prince Apparels Ltd","accord"
"Peerage KnitWear Ltd.","accord"
"Sourcing)","accord"
"Peninsula Garments Ltd.","accord"
"PENTAGON APPARELS LTD","accord"
"PENTAGON FASHION WEAR LTD","accord"
"PENTAGON KNIT COM LTD","accord"
"PIMKIE APPARELS LTD.","accord"
"Pinaki","accord"
"PINERY TEXTILE LIMITED","accord"
"Pioneer Casual Wear Ltd.","accord"
"Pioneer Dresses Ltd.","accord"
"Pioneer Knitwears (BD) Ltd","accord"
"Pioneer Knitwears (BD) Ltd. (Section‐1)","accord"
"Pioneer Knitwears (BD) Ltd. (Section‐2)","accord"
"Pioneer Sweaters & Knitwears Unit‐1","accord"
"Pioneer Sweaters Ltd","accord"
"Plummy Fashion","accord"
"Pole Star Fashion Design Ltd.","accord"
"POLKA DOTS","accord"
"Polo Composite Knit Ind. LTD.","accord"
"Posh Garments Ltd","accord"
"POSMI SWEATERS LTD.","accord"
"POWER VANTAGE WEAR & SHIRTMINE LTD KAFRUL TOWER, 234/8, KACHUKHATE,","accord"
"PRAN‐RFL Group Durable Plastics Ltd.","accord"
"PRATIK Apparels Ltd.","accord"
"Premier 1888 Ltd","accord"
"PREMIER TOWELS BD LTD","accord"
"PRESENTATION APPARELS LTD","accord"
"PRETTY COMPOSITE TEXTILES LTD","accord"
"PRETTY WOOL WEAR","accord"
"Prime Sweater Ltd.","accord"
"Prince & Porag Apparels Ltd. (Unit 01)","accord"
"Prince & Porag Apparels Ltd. (Unit 02)","accord"
"Probashi Knitwear LTD","accord"
"LIMITED","accord"
"Prominent Apparels","accord"
"PROMO East (Asia) Limited","accord"
"Protex GmbH","accord"
"Protik Ceramics Ltd","accord"
"PROTTASHA DYEING & PRINTING LTD","accord"
"PULLMAN KNITWEAR (PVT) LTD","accord"
"PURNA FASHION LTD.","accord"
"Pusan Bangladesh Ltd.","accord"
"Pushpa Knitwear Ltd.","accord"
"Q‐POINT FASHIONS LTD","accord"
"Quality Apparels","accord"
"R.K. Fashion Ltd.","accord"
"R.K. Fashion Ltd.","accord"
"R.M.M. Knit Clothing Ltd.","accord"
"R.N.Sweaters Ltd","accord"
"RA International","accord"
"RADHAMANI INTERNATIONAL","accord"
"Radial International","accord"
"Radiance Fashion Ltd","accord"
"Radiant Sweater Ind. LTD","accord"
"Radix Limited","accord"
"RAGADI TEXTILE LIMITED","accord"
"Rahim Textile Mills Ltd.","accord"
"RAHIMA TEXTILES LIMITED.","accord"
"Rahimaaziz Knitspin Ltd","accord"
"RAHMAN KNIT GARMENT LTD","accord"
"Rahman Knitwear","accord"
"Rahmat Sweater (BD) LTD.","accord"
"RAIYAN KNIT COMPOSITE LTD","accord"
"Ralex Industries Ltd.","accord"
"Industry Ltd.","accord"
"RAQUEF FASHION LTD","accord"
"Rashed Export Ltd","accord"
"Ratool Apparels","accord"
"Ratul Fabrics Ltd","accord"
"RATUL KNITWEARS LIMITED","accord"
"Raza Knit (BD) Ltd.","accord"
"Reaz Export Apparels Ltd","accord"
"Redpoint Jackets Ltd.","accord"
"REDWAN TEX","accord"
"Reedisha","accord"
"REEDISHA Knitex (bd) Ltd.","accord"
"Reedisha Knitex Ltd","accord"
"Regency Garments Limited","accord"
"Regency Garments Ltd., unit # 2Plot # 7‐9, Sector # 4, CEPZ,, CEPZ, Chittagong","accord"
"REGENCY THREE LTD","accord"
"Regency Three Ltd., unit # 5FS‐SFB 3, BEPZA Building, Ground floor (both","accord"
"Regent Textiles","accord"
"Reliance Denim Ind Ltd","accord"
"RENAISSANCE APPARELS LTD","accord"
"Rex Composite Knit Wears Ltd.","accord"
"Reytex Fashion Wears Ltd.","accord"
"Reza Fashion Ltd","accord"
"REZAUL & BROTHERS","accord"
"RGR Sweater Ltd.","accord"
"Rio Fashion Wear Ltd","accord"
"Ripon Knitwear Ltd","accord"
"Rising Fashions Ltd.","accord"
"River Side Sweater Ltd","accord"
"Riviera Resources Ltd.","accord"
"RL Denim Limited","accord"
"Robintex (Bangladesh) Ltd.","accord"
"Garments Ltd","accord"
"Romo Fashion Today Ltd.","accord"
"RONGDHONU SWEATER LTD","accord"
"Rony Fashion and Knitwear Ltd.","accord"
"RONY KNIT WEAR (PVT.) LTD.","accord"
"Rose Garden Apparels Ltd.","accord"
"Rose Sweaters Ltd (Unit‐2)","accord"
"Roshawa Fabrics Ltd.","accord"
"Rowa Knitwear","accord"
"Rowa woven factory","accord"
"Rudmila Knitwear Ltd.","accord"
"Rumana Fashion Ltd.","accord"
"Running fashions ltd","accord"
"Rupa Knitwear","accord"
"Rupa wool wear ltd","accord"
"RUPASHI FABRICS COMPLEX ( PVT ) LTD.","accord"
"Rupashi Knit Wears Ltd.","accord"
"Russel Apparels & Ekram Sweater Ltd","accord"
"RUSSEL GARMENTS","accord"
"RUSSEL GARMENTS UNIT‐2East Delpara, Kutubpur, Fatulla","accord"
"S & N Camabi","accord"
"S B Style Composite Ltd.","accord"
"S M KNITWEARS LTD","accord"
"S. F. APPARELS LTD.","accord"
"S. F. DENIM APPARELS LTD.","accord"
"S. F. FASHION WEARS LTD.","accord"
"S. Suhi Industrial Park Ltd.","accord"
"S.B. Duying","accord"
"S.I.KNITTING LTD","accord"
"S.K. Sweaters Ltd.","accord"
"S.M.I Production","accord"
"S.P.M. Designs Ltd","accord"
"S.Six Fashions Pvt Ltd","accord"
"SAAD MUSA FABRICS LTD (UNIT‐2)","accord"
"Saad Saan App.Ltd","accord"
"SAADATIA  SWEATERS LTD.","accord"
"Saasco Tex Bd Ltd","accord"
"Saascotex (Bd) Ltd.","accord"
"SABARANG FASHIONS LTD","accord"
"Sacred Fashions Ltd.","accord"
"Sadaf Fashions Limited","accord"
"Sadat Composite Knit Ind. Ltd.","accord"
"Sadma Fashion Wear Ltd.","accord"
"Safia Apparels Limited","accord"
"SAIHAM KNIT COMPOSITE LTD.","accord"
"Sakura Dyeiing + Garments LTD","accord"
"SALIM & BROTHERS LIMITED.","accord"
"SALIM & BROTHERS LTD (UNIT‐2)","accord"
"Salman Adnan (Pvt) Ltd","accord"
"Sam sweaters ltd.","accord"
"Samad Sweater ltd","accord"
"SAMOTAF APPARELS LIMITED","accord"
"Samrat","accord"
"Sams Attire Ltd","accord"
"SAMS FASHION LTD","accord"
"Sark Knitwear Ltd.","accord"
"SATURN TEXTILES LTD.","accord"
"Saturn Textiles Ltd.(Woven Division)","accord"
"SAVANNAH FASHIONS LTD","accord"
"Savar Shirts Ltd.","accord"
"SAVAR SWEATERS LTD","accord"
"Saville Row Limited.,","accord"
"Sayam Knit Fab","accord"
"Ltd.","accord"
"Scandex (Bd) Ltd","accord"
"Scandex Knitwear Limited (Unit 1)","accord"
"Scandex Knitwear Limited (Unit 2)","accord"
"International Trading)","accord"
"Scarlet Knitwears Ltd.","accord"
"Sea Tex Ltd.","accord"
"Seacotex Fabrics Ltd","accord"
"Seasons Dresses Ltd.","accord"
"SECTION SEVEN APPARELS LIMITED","accord"
"Singapore Pte. Ltd)","accord"
"Section Seven Limited","accord"
"Seha design ltd","accord"
"SEIDENSTICKER Int'l","accord"
"Self Innovative Fashion Ltd.","accord"
"Selina Apparels Ltd","accord"
"SENSIBLE KNIT WEAR","accord"
"Seo Wan Bangladesh Ltd.","accord"
"Seowan Bangladesh Ltd. Unit‐2Islam Plaza, 5,6 &7th Floor, Road# 3, Block # 7,","accord"
"Sepal Garments Ltd","accord"
"Sepal Washing Plant Ltd.","accord"
"SERAJSONS","accord"
"Setara Knitwear Ltd.","accord"
"SF Sweaters Ltd.","accord"
"Shabab Fabrics Ltd","accord"
"SHADE FASHIONS","accord"
"Shadhin Garments Ltd","accord"
"SHAFI PROCESSING INDUSTRIES LTD.","accord"
"Shagore Garments Ltd","accord"
"SHAH Makhdum Garments limited.","accord"
"Shahaba Knitwear Ltd.","accord"
"Shahrin Fashion Wear Limited","accord"
"SHAHRIN FASHION WEAR LIMITED","accord"
"Shamrin Tex Ltd","accord"
"SHAMS STYLING WEARS LTD","accord"
"Shanta Denims Limited (Plot#156 And 177) Plot#156 And 177, Depz, Ganakbari, Savar","accord"
"223)","accord"
"Shanta Expression Limited","accord"
"Shanta Garments Ltd.","accord"
"Sharmin Apparels Ltd","accord"
"Sharmin Fashions Limited.","accord"
"Sharoms Samsons Winter Wear","accord"
"Shasha Garments","accord"
"Shezads Designwear Ltd","accord"
"SHIN SHIN APPARELS LTD.","accord"
"Shine Fashion Co. (Pvt) Ltd.","accord"
"SHINEST APPARELS","accord"
"Shirt Makers Limitede","accord"
"SHIRTS MINE LTD","accord"
"SHISHIR KNITTING & DYEING LTD","accord"
"Shomahar Sweaters Ltd","accord"
"Shore to Shore Textiles","accord"
"SHOVON KNITWEAR LTD","accord"
"Shristy Fashion","accord"
"Shyms Fashion Ltd.","accord"
"SI KNITTING LTD.","accord"
"Siam's Superior Ltd unit‐2Sector ‐1, Plot No. 6,7,8 CEPZ","accord"
"SIAM'S SUPERIOR LTD.","accord"
"Sidko Limited","accord"
"SIENKEE APPARELS LTD (Bariali,Chandona)","accord"
"Complex)","accord"
"EPZ)","accord"
"Sigma Fashion Ltd.","accord"
"SIGMA FASHIONS LTD.","accord"
"SIKDER APPAREL HOSIERY Ltd","accord"
"Silken Sewing Ltd","accord"
"Simba Fashions Limited","accord"
"SIMCO FASHIONS LTD","accord"
"Sincere Knit Garments Ltd Unit‐1East Isdair, Chandmari, Fatullah, Narayanganj","accord"
"Sincere Knit Wears Ltd","accord"
"SINHA DENIM WEAR LTD.","accord"
"Sinha Fabrics Ltd.","accord"
"Sinha Knit Industries Limited","accord"
"Sinha Knitting Ltd.","accord"
"SIR DENIM LTD","accord"
"Sirajgonj Fashions Limited","accord"
"SKYLINE CASUAL APPARELS LTD.","accord"
"SM Knit Wear","accord"
"SM Knits","accord"
"Smart Jacket LTd /Sheehan Textiles Ltd","accord"
"Smart Jackets (BD) Ltd","accord"
"Smart Jeans","accord"
"Smart Knitwear Ltd.","accord"
"Smee Apparels Ltd.","accord"
"Smh New Generation Apparels Ltd","accord"
"Smug Sweater Ltd","accord"
"Snow White Composite Ltd.","accord"
"Snowtex Apparels Ltd.","accord"
"SOFTEX COTTON UNIT 1Hazi Kuzrat Ali Mollah Super Market, 1N,","accord"
"SOFTEX COTTON UNIT 2Hazi Kuzrat Ali Mollah Super Market, 1N,","accord"
"Softex Sweaters","accord"
"Sonali Aansh Industries Limited","accord"
"Sonia Fine Knit Ltd","accord"
"SONIA Limited.","accord"
"Sonia Sweaters Ltd.","accord"
"Sourov Hosiery","accord"
"Sourthen Clothing Limited","accord"
"South East ( Interstoff Group )Gorai, Mirzapur, Tangail","accord"
"South East Textile (Interstoff Apparels Ltd) Gorai, Mirzapur","accord"
"Southend Sweater Co.Ltd.","accord"
"POSHAK SHILPA LTD","accord"
"Southern Garments Ltd","accord"
"Southern Knitwear Ltd.","accord"
"Southern Poshak Shilpa Ltd.","accord"
"Southwest Composite ltd","accord"
"Space Sweater Limited","accord"
"Sparrow Apparels Ltd.,","accord"
"Spectra Sweater Ltd","accord"
"Ltd.)","accord"
"Spencer Design Ltd","accord"
"Spicy Fashion","accord"
"Spotfame Apparels Ltd.","accord"
"SPRING TRADE LTD.","accord"
"SQ Birichina Ltd","accord"
"SQ Celsius Limited","accord"
"SQUARE FASHIONS LTD","accord"
"Square Fashions Ltd ‐ Unit 2","accord"
"Square Fashions Ltd, Unit‐2","accord"
"SRT Fashions Ltd.","accord"
"UNIT)","accord"
"Star Garments( Pvt Ltd )Sha‐23, Middle Badda","accord"
"Starlet apparel ltd","accord"
"Starlight Sweaters","accord"
"Steilmann","accord"
"Step Three Apparel Ltd","accord"
"STERLING APPARELS LTD","accord"
"Sterling Creations Ltd","accord"
"Sterling Denim Ltd.","accord"
"STERLING STYLES LTD","accord"
"Stilvoll Knitwear Ltd","accord"
"STITCH APPARELS LIMITED","accord"
"Stitch Right Limited","accord"
"Stitchtone Apparels Ltd.","accord"
"Stitchwell Designs Ltd (348/1/A Tejgaon)","accord"
"Stitchwell Designs Ltd (430/1/A, Tejgaon)","accord"
"STOFFATEX FASHIONS LIMITED","accord"
"Stylecraft Limited","accord"
"Stylo Fashion Garments Ltd.","accord"
"Styrax Fashion Limited","accord"
"SUMAN FASHION GARMENTS LTD","accord"
"Sumi Apparels Pvt. Ltd.","accord"
"Sun Cherry Body Fashions Mfty Ltd.","accord"
"SungKwang Apparels Ltd","accord"
"Supasox Ltd.","accord"
"Super knitting & Dying mills ltd","accord"
"SUPREME KNITWEAR LTD","accord"
"Supreme Stitch Ltd.","accord"
"Suravee Garments Limited","accord"
"Surma Garments Ltd.","accord"
"Susuka Knit Ltd","accord"
"Swan Jeans Ltd","accord"
"SWAN1 SWEATER","accord"
"Sweater Apparels Ltd.","accord"
"SWEATER COTTAGE LTD.","accord"
"SWEATER Makers Ltd.","accord"
"SWEATER Makers Ltd.","accord"
"SWEATER ZONE LTD","accord"
"Sweatertech Ltd.","accord"
"Syntex knitwear Ltd","accord"
"Tafop Apparels Ltd.","accord"
"Tahersons Fashions Limited","accord"
"Tajir Apparels Ltd.","accord"
"TALISMAN LTD (Unit 1&2)","accord"
"Talisman Ltd. (c/o FCI (BD) Ltd)","accord"
"Tamanna Sweater Ltd","accord"
"Tamishna Fashion Wear Ltd","accord"
"Tamishna Fashion Wear Ltd(Unit‐2)","accord"
"Tammam Design Ltd","accord"
"Tanaz Fashions Ltd.","accord"
"TANDEM SWEATERS LTD","accord"
"Tangon Garments Ltd.","accord"
"Tangon Knitwear Ltd.","accord"
"TANİMA KNİT COMPOSİTE LTD (JK GROUP) 10 South Dariapur,Savar, Dhaka","accord"
"Tanzila Textile Ltd","accord"
"Taqwa Fabrics Ltd.","accord"
"Tarasima Apparels Limited","accord"
"Taratex Fashion Limited","accord"
"Target Fine Wear Industries","accord"
"Tasniah Fabrics Ltd.","accord"
"Taufiq Sweater Ltd.","accord"
"Tean T‐Shirt Fashion Ltd.","accord"
"TEB Fashion Int. Ltd","accord"
"Techno Dress Ltd.","accord"
"Teidem GmbH (Chashara, NARAYANGANJ)","accord"
"Teidem GmbH (Fatullah NARAYANGONJ)","accord"
"Teidem GmbH (Lalpur, Ftullah)","accord"
"TEMAKAW FASHION LTD","accord"
